"id","committer","comunity","star","watcher","pull_request","dpdp","pdp"
"92259","7","7","7","6","","TRUE","TRUE"
"93988","1","1","4","4","","TRUE","TRUE"
"94329","2","2","6","9","","FALSE","FALSE"
"94414","2","2","14","8","","TRUE","TRUE"
"94884","3","3","2","2","","FALSE","TRUE"
"96537","1","1","0","1","","FALSE","TRUE"
"96711","1","1","0","1","","FALSE","FALSE"
"96835","1","1","4","4","","FALSE","FALSE"
"97514","3","47","1","1","","FALSE","FALSE"
"97540","2","2","22","23","","FALSE","TRUE"
"98306","2","2","34","31","","TRUE","TRUE"
"100977","3","3","5","7","","FALSE","FALSE"
"102072","2","2","1","1","","FALSE","TRUE"
"102881","6","6","2","3","","FALSE","TRUE"
"103046","2","2","7","5","","FALSE","FALSE"
"103226","3","3","1","1","","FALSE","TRUE"
"103869","1","1","6","5","","FALSE","FALSE"
"103887","2","2","0","1","","FALSE","TRUE"
"104057","3","3","5","5","","FALSE","FALSE"
"104688","1","1","1","1","","TRUE","FALSE"
"105653","3","3","1","1","","FALSE","FALSE"
"105895","3","18","0","1","","FALSE","TRUE"
"106506","1","1","1","1","","FALSE","TRUE"
"107161","1","1","1","1","","FALSE","TRUE"
"107268","1","1","1","1","","FALSE","TRUE"
"108175","1","1","1","1","","FALSE","FALSE"
"108532","1","1","7","7","","TRUE","TRUE"
"108597","2","2","4","4","","TRUE","TRUE"
"110452","1","1","53","50","","TRUE","TRUE"
"111330","3","3","1","1","","FALSE","FALSE"
"111505","1","1","1","1","","FALSE","FALSE"
"111912","3","5","1","4","","TRUE","TRUE"
"112761","2","2","2","3","","FALSE","FALSE"
"113002","1","1","25","20","","FALSE","TRUE"
"113117","1","1","18","16","","FALSE","TRUE"
"113369","2","2","25","24","","TRUE","TRUE"
"113814","1","2","7","7","","TRUE","TRUE"
"114191","2","2","11","13","","TRUE","TRUE"
"114337","2","3","1","1","","FALSE","TRUE"
"114429","1","1","5","5","","FALSE","TRUE"
"114572","1","2","34","24","","TRUE","TRUE"
"116389","1","1","2","2","","FALSE","TRUE"
"118066","2","2","4","4","","TRUE","TRUE"
"118362","1","1","3","3","","TRUE","TRUE"
"118769","3","7","69","70","","FALSE","TRUE"
"118807","1","1","1","1","","FALSE","TRUE"
"118808","2","2","3","3","","FALSE","FALSE"
"119824","1","1","3","2","","FALSE","FALSE"
"120224","3","3","1","1","","TRUE","TRUE"
"121000","6","6","3","3","","FALSE","TRUE"
"121088","2","2","2","2","","TRUE","TRUE"
"121841","1","1","3","6","","FALSE","FALSE"
"122012","3","3","8","7","","TRUE","TRUE"
"123043","2","2","1","1","","FALSE","TRUE"
"124558","8","9","1","1","","FALSE","FALSE"
"125778","2","2","2","3","","TRUE","TRUE"
"126851","4","4","2","4","","TRUE","TRUE"
"127948","1","1","0","0","","FALSE","FALSE"
"128499","1","1","1","1","","FALSE","FALSE"
"128778","6","7","1","1","","TRUE","TRUE"
"128899","1","1","2","2","","FALSE","FALSE"
"129861","2","2","1","1","","FALSE","TRUE"
"132012","1","1","2","2","","FALSE","TRUE"
"132119","1","1","2","2","","TRUE","TRUE"
"132740","1","1","0","1","","FALSE","TRUE"
"133126","4","4","1","2","","TRUE","TRUE"
"133338","6","6","1","1","","FALSE","FALSE"
"133895","23","23","11","13","","FALSE","FALSE"
"135900","1","1","1","1","","FALSE","FALSE"
"136005","3","3","1","2","","TRUE","TRUE"
"136045","4","4","1","1","","FALSE","FALSE"
"136162","6","6","0","1","","TRUE","TRUE"
"137712","1","2","18","18","","FALSE","FALSE"
"137777","2","2","5","5","","TRUE","TRUE"
"138090","1","1","4","3","","FALSE","FALSE"
"138629","3","3","1","1","","FALSE","TRUE"
"139120","10","10","2","1","","FALSE","FALSE"
"139781","1","1","2","2","","FALSE","FALSE"
"140417","2","2","3","3","","FALSE","TRUE"
"140496","1","1","1","1","","FALSE","TRUE"
"140603","1","1","5","5","","TRUE","FALSE"
"141569","9","9","5","4","","TRUE","TRUE"
"141880","3","3","2","2","","FALSE","FALSE"
"142052","1","1","2","2","","TRUE","TRUE"
"142219","3","3","1","2","","TRUE","TRUE"
"142774","2","2","4","4","","TRUE","TRUE"
"143019","1","1","0","1","","FALSE","FALSE"
"146196","2","2","1","1","","FALSE","TRUE"
"146811","1","1","3","4","","FALSE","TRUE"
"147400","1","1","1","1","","FALSE","TRUE"
"147996","2","2","4","5","","TRUE","TRUE"
"149364","3","3","2","2","","FALSE","FALSE"
"149831","1","2","1","1","","TRUE","TRUE"
"149885","4","4","6","7","","TRUE","TRUE"
"149914","4","4","1","1","","FALSE","TRUE"
"150376","2","2","1","1","","TRUE","TRUE"
"151774","1","1","1","1","","TRUE","TRUE"
"152824","1","3","25","24","","FALSE","FALSE"
"152855","5","5","1","1","","FALSE","FALSE"
"153021","2","2","1","2","","FALSE","TRUE"
"153941","1","1","4","3","","TRUE","TRUE"
"153954","4","6","12","12","","TRUE","TRUE"
"154594","3","3","4","6","","TRUE","TRUE"
"157531","1","1","61","58","","FALSE","TRUE"
"158840","2","2","1","1","","FALSE","TRUE"
"160401","2","2","5","4","","TRUE","TRUE"
"162298","3","4","4","4","","TRUE","TRUE"
"163517","1","2","1","1","","TRUE","TRUE"
"163636","1","2","29","32","","TRUE","TRUE"
"163747","1","1","0","1","","FALSE","TRUE"
"163916","1","1","0","1","","FALSE","TRUE"
"164185","2","2","3","4","","FALSE","TRUE"
"164809","1","2","5","5","","FALSE","FALSE"
"165237","5","6","1","2","","FALSE","TRUE"
"166079","2","2","1","1","","FALSE","TRUE"
"168927","1","5","21","23","","TRUE","TRUE"
"171704","3","3","6","9","","TRUE","TRUE"
"172744","1","1","1","0","","FALSE","TRUE"
"177507","3","50","1","0","","FALSE","TRUE"
"177808","1","1","4","0","","FALSE","TRUE"
"178757","1","1","1","0","","FALSE","TRUE"
"179115","6","17","185","177","","TRUE","TRUE"
"181571","2","2","4","1","","FALSE","TRUE"
"184421","1","1","2","2","","FALSE","TRUE"
"188471","1","1","5","3","","TRUE","TRUE"
"189238","2","2","0","0","","FALSE","FALSE"
"190973","1","1","4","2","","FALSE","FALSE"
"195306","2","2","6","4","","FALSE","FALSE"
"199197","1","1","29","26","","TRUE","TRUE"
"201292","2","5","105","44","","FALSE","FALSE"
"203118","1","1","3","3","","FALSE","FALSE"
"203817","6","7","3","2","","TRUE","TRUE"
"204318","3","3","4","3","","TRUE","TRUE"
"206535","1","1","4","4","","TRUE","TRUE"
"207023","5","6","6","5","","FALSE","FALSE"
"207563","1","1","10","11","","TRUE","TRUE"
"207632","1","1","10","4","","TRUE","TRUE"
"231354","13","43","67","20","132","TRUE","TRUE"
"427325","108","174","904","674","100","TRUE","TRUE"
"234526","64","241","398","293","94","TRUE","TRUE"
"220784","15","15","20","3","91","FALSE","FALSE"
"236667","23","27","201","152","90","TRUE","TRUE"
"226789","33","38","18","13","90","TRUE","TRUE"
"232776","43","44","110","87","62","TRUE","TRUE"
"504263","62","131","493","389","57","TRUE","TRUE"
"307578","27","62","296","248","38","TRUE","TRUE"
"418654","32","60","178","137","37","FALSE","FALSE"
"215083","7","15","59","24","35","TRUE","TRUE"
"296987","11","22","3","50","34","TRUE","FALSE"
"276019","29","30","333","192","28","TRUE","TRUE"
"227513","28","33","209","124","28","TRUE","TRUE"
"267761","13","13","81","62","25","TRUE","TRUE"
"220918","3","3","1","0","25","FALSE","TRUE"
"324204","10","18","57","28","25","FALSE","FALSE"
"362894","17","33","217","123","24","TRUE","TRUE"
"338154","11","12","21","16","23","TRUE","TRUE"
